radius,numberIntersections,intersectionArea,meanIntersectionDiameter
May3c-basal,220.000000,9.000000,7.980507,1.014652
May3c-basal,240.000000,4.000000,1.319639,0.589113
May3c-basal,260.000000,1.000000,0.716164,0.954908
May3c-apical,20.000000,1.000000,6.612266,2.901551
May3c-apical,40.000000,3.000000,6.385306,1.516062
May3c-apical,60.000000,4.000000,7.851449,1.517927
May3c-apical,80.000000,9.000000,11.583171,1.210493
May3c-apical,100.000000,9.000000,10.734038,1.157140
May3c-apical,120.000000,9.000000,11.375342,1.104689
May3c-apical,140.000000,11.000000,8.690317,0.922740
May3c-apical,160.000000,12.000000,9.047457,0.903232
May3c-apical,180.000000,11.000000,6.924166,0.816479
May3c-apical,200.000000,12.000000,8.131023,0.874995
May3c-apical,220.000000,10.000000,7.679505,0.906012
May3c-apical,240.000000,11.000000,6.784947,0.800242
May3c-apical,260.000000,8.000000,4.857481,0.797373
May3c-apical,280.000000,9.000000,4.176780,0.691418
May3c-apical,300.000000,7.000000,7.121840,0.980957
May3c-apical,320.000000,7.000000,4.578970,0.827617
May3c-apical,340.000000,6.000000,4.942559,0.902567
May3c-apical,360.000000,5.000000,4.137611,0.928284
May3c-apical,380.000000,5.000000,5.180956,1.094869
May3c-apical,400.000000,5.000000,4.166666,0.963603
May3c-apical,420.000000,5.000000,3.244833,0.881345
May3c-apical,440.000000,6.000000,3.827121,0.892806
May3c-apical,460.000000,6.000000,4.020950,0.884664
May3c-apical,480.000000,6.000000,3.193986,0.799826
May3c-apical,500.000000,6.000000,4.398370,0.923129
May3c-apical,520.000000,6.000000,3.782248,0.875073
May3c-apical,540.000000,7.000000,3.381349,0.770516
May3c-apical,560.000000,7.000000,4.711367,0.915445
May3c-apical,580.000000,9.000000,5.430479,0.832068
May3c-apical,600.000000,11.000000,9.732067,0.952782
May3c-apical,620.000000,11.000000,6.446225,0.811436
May3c-apical,640.000000,12.000000,7.778176,0.836983
May3c-apical,660.000000,12.000000,7.048794,0.840166
May3c-apical,680.000000,11.000000,5.953151,0.777038
May3c-apical,700.000000,9.000000,4.294250,0.748162
May3c-apical,720.000000,6.000000,1.820046,0.599404
May3c-apical,740.000000,2.000000,2.133484,1.039860
May3d-basal,20.000000,12.000000,13.499295,1.092979
May3d-basal,40.000000,22.000000,17.974373,0.991715
May3d-basal,60.000000,25.000000,28.808593,1.175729
May3d-basal,80.000000,25.000000,27.993400,1.149374
May3d-basal,100.000000,20.000000,20.508374,1.103623
May3d-basal,120.000000,16.000000,14.980819,0.967287
May3d-basal,140.000000,16.000000,10.804419,0.870598
May3d-basal,160.000000,15.000000,7.423547,0.759869
May3d-basal,180.000000,12.000000,7.085312,0.744489
May3d-basal,200.000000,6.000000,4.592431,0.854030
May31e-apical,20.000000,1.000000,7.617774,3.114362
May31e-apical,40.000000,2.000000,8.835692,2.011284
May31e-apical,60.000000,3.000000,7.220702,1.683951
May31e-apical,80.000000,8.000000,16.436469,1.514566
May31e-apical,100.000000,10.000000,10.203505,1.003117
May31e-apical,120.000000,12.000000,7.755921,0.856817
May31e-apical,140.000000,13.000000,9.765929,0.880999
May31e-apical,160.000000,13.000000,7.935822,0.758605
May31e-apical,180.000000,14.000000,9.556991,0.782750
May31e-apical,200.000000,16.000000,9.148081,0.726311
May31e-apical,220.000000,14.000000,7.140706,0.740344
May31e-apical,240.000000,16.000000,7.579243,0.652075
May31e-apical,260.000000,14.000000,7.759906,0.704619
May31e-apical,280.000000,13.000000,8.022315,0.712497
May31e-apical,300.000000,11.000000,6.377125,0.733166
May31e-apical,320.000000,6.000000,3.932696,0.804647
May31e-apical,340.000000,8.000000,4.302905,0.729744
May31e-apical,360.000000,9.000000,9.284757,1.027568
May31e-apical,380.000000,8.000000,5.838350,0.849232
May31e-apical,400.000000,7.000000,7.329655,1.037736
May31e-apical,420.000000,6.000000,4.420662,0.896994
May31e-apical,440.000000,7.000000,3.888922,0.781898
May31e-apical,460.000000,7.000000,2.876542,0.707946
May31e-apical,480.000000,6.000000,3.900047,0.828904
May31e-apical,500.000000,8.000000,3.295816,0.710029
May31e-apical,520.000000,8.000000,3.467896,0.706523
May31e-apical,540.000000,9.000000,3.002802,0.609194
May31e-apical,560.000000,8.000000,2.521008,0.618042
May31e-apical,580.000000,8.000000,2.133465,0.570530
May31e-apical,600.000000,8.000000,1.986416,0.557891
May31e-apical,620.000000,8.000000,1.965863,0.555467
May31e-apical,640.000000,9.000000,2.363855,0.568836
May31e-apical,660.000000,8.000000,2.089800,0.565696
May31e-apical,680.000000,9.000000,2.027460,0.521837
May31e-apical,700.000000,9.000000,3.172428,0.634621
May31e-apical,720.000000,9.000000,2.742615,0.609288
May31e-apical,740.000000,8.000000,3.523798,0.704024
May31e-apical,760.000000,7.000000,1.838129,0.556246
May31e-apical,780.000000,8.000000,2.352206,0.581578
May31e-apical,800.000000,6.000000,1.358208,0.529258
May31e-apical,820.000000,3.000000,0.760298,0.556001
May31e-apical,840.000000,2.000000,0.601083,0.612570
May31e-apical,860.000000,2.000000,0.410624,0.511283
May31e-apical,880.000000,1.000000,0.227916,0.538695
May3g-basal,20.000000,10.000000,9.116648,1.033076
May3g-basal,40.000000,23.000000,7.757856,0.613278
May3g-basal,60.000000,29.000000,10.143388,0.617632
May3g-basal,80.000000,33.000000,12.118821,0.644317
May3g-basal,100.000000,34.000000,11.961155,0.635979
May3g-basal,120.000000,30.000000,10.293332,0.603966
May3g-basal,140.000000,26.000000,8.422262,0.582008
May3g-basal,160.000000,20.000000,4.989061,0.541590
May3g-basal,180.000000,17.000000,5.106365,0.572681
May3g-basal,200.000000,15.000000,4.548058,0.594185
May3g-basal,220.000000,5.000000,0.936278,0.453691
May3g-basal,240.000000,1.000000,0.035755,0.213366
May3d-apical,20.000000,1.000000,7.498733,3.089933
May3d-apical,40.000000,3.000000,3.748896,1.213808
May3d-apical,60.000000,6.000000,10.929546,1.472783
May3d-apical,80.000000,11.000000,16.357928,1.294554
May3d-apical,100.000000,13.000000,25.124574,1.439579
May3d-apical,120.000000,14.000000,22.041898,1.334047
May3d-apical,140.000000,16.000000,20.665474,1.203327
May3d-apical,160.000000,15.000000,21.357793,1.226691
May3d-apical,180.000000,15.000000,13.609849,0.988365
May3d-apical,200.000000,14.000000,18.075912,1.132726
May3d-apical,220.000000,13.000000,10.186801,0.893049
May3d-apical,240.000000,9.000000,10.979913,1.159021
May3d-apical,260.000000,10.000000,7.294939,0.846479
May3d-apical,280.000000,9.000000,6.046811,0.864337
May3d-apical,300.000000,8.000000,4.720517,0.818973
May3d-apical,320.000000,7.000000,5.204974,0.955705
May3d-apical,340.000000,7.000000,4.350075,0.804661
May3d-apical,360.000000,6.000000,3.165150,0.758624
May3d-apical,380.000000,7.000000,5.071777,0.914616
May3d-apical,400.000000,7.000000,4.096996,0.833242
May3d-apical,420.000000,7.000000,3.505891,0.783797
May3d-apical,440.000000,9.000000,3.842118,0.719557
May3d-apical,460.000000,9.000000,4.111947,0.740978
May3d-apical,480.000000,9.000000,4.005162,0.743227
May3d-apical,500.000000,11.000000,4.781763,0.719075
May3d-apical,520.000000,11.000000,3.114866,0.589363
May3d-apical,540.000000,10.000000,4.589032,0.753206
May3d-apical,560.000000,10.000000,5.709704,0.804456
May3d-apical,580.000000,10.000000,4.205246,0.702561
May3d-apical,600.000000,9.000000,3.490600,0.692887
May3d-apical,620.000000,7.000000,3.878892,0.791763
May3d-apical,640.000000,4.000000,1.896375,0.751743
May3d-apical,660.000000,2.000000,0.214570,0.361979
May3d-apical,680.000000,1.000000,0.110507,0.375103
May3h-basal,20.000000,9.000000,10.387781,1.121921
May3h-basal,40.000000,21.000000,9.488558,0.708726
May3h-basal,60.000000,22.000000,10.772645,0.700862
May3h-basal,80.000000,18.000000,7.057453,0.654337
May3h-basal,100.000000,17.000000,5.457536,0.581306
May3h-basal,120.000000,15.000000,3.881013,0.521508
May3h-basal,140.000000,11.000000,2.871014,0.541501
May3h-basal,160.000000,9.000000,2.599498,0.564863
May3h-basal,180.000000,4.000000,1.101539,0.564868
May3h-basal,200.000000,1.000000,0.041998,0.231244
May3g-apical,20.000000,1.000000,7.663221,3.123638
May3g-apical,40.000000,3.000000,4.740550,1.295011
May3g-apical,60.000000,8.000000,14.548707,1.084263
May3g-apical,80.000000,10.000000,5.476447,0.749434
May3g-apical,100.000000,15.000000,7.357896,0.670684
May3g-apical,120.000000,18.000000,5.120030,0.518939
May3g-apical,140.000000,15.000000,4.890332,0.549608
May3g-apical,160.000000,15.000000,4.747098,0.575330
May3g-apical,180.000000,13.000000,5.566168,0.640007
May3g-apical,200.000000,12.000000,6.028073,0.711316
May3g-apical,220.000000,14.000000,5.856714,0.677650
May3g-apical,240.000000,12.000000,6.157338,0.690081
May3g-apical,260.000000,7.000000,4.678639,0.789568
May3g-apical,280.000000,8.000000,4.650286,0.790406
May3g-apical,300.000000,7.000000,1.276531,0.454398
May3g-apical,320.000000,7.000000,1.562162,0.521556
May3g-apical,340.000000,8.000000,2.366921,0.574429
May3g-apical,360.000000,7.000000,1.684082,0.528975
May3g-apical,380.000000,7.000000,2.044980,0.519419
May3g-apical,400.000000,6.000000,1.345190,0.515513
May3g-apical,420.000000,4.000000,1.529044,0.694868
May3g-apical,440.000000,4.000000,1.212765,0.590647
May3g-apical,460.000000,4.000000,1.636926,0.713635
May3g-apical,480.000000,4.000000,1.823811,0.744232
May3g-apical,500.000000,5.000000,1.845487,0.643522
May3g-apical,520.000000,5.000000,1.330860,0.571282
May3g-apical,540.000000,6.000000,1.070594,0.454238
May3g-apical,560.000000,6.000000,1.810856,0.589485
May3g-apical,580.000000,6.000000,1.217144,0.498777
May3g-apical,600.000000,9.000000,4.029305,0.667453
May3g-apical,620.000000,10.000000,3.812059,0.620352
May3g-apical,640.000000,10.000000,2.956142,0.563481
May3g-apical,660.000000,10.000000,3.021819,0.591338
May3g-apical,680.000000,11.000000,4.130075,0.611670
May3g-apical,700.000000,11.000000,2.266653,0.457991
May3g-apical,720.000000,9.000000,1.944547,0.493736
May3g-apical,740.000000,5.000000,0.735691,0.421628
May3g-apical,760.000000,5.000000,1.475670,0.604196
May3g-apical,780.000000,1.000000,0.175845,0.473173
May3g-apical,800.000000,1.000000,0.779905,0.996497
May3i-basal,20.000000,10.000000,6.952781,0.868688
May3i-basal,40.000000,20.000000,9.801199,0.744524
May3i-basal,60.000000,22.000000,11.614092,0.777150
May3i-basal,80.000000,19.000000,12.868572,0.842265
May3i-basal,100.000000,16.000000,7.691193,0.735150
May3i-basal,120.000000,13.000000,4.889379,0.636267
May3i-basal,140.000000,10.000000,2.886438,0.529882
May3i-basal,160.000000,7.000000,2.631374,0.636676
May3i-basal,180.000000,4.000000,1.002714,0.554632
May3i-basal,200.000000,2.000000,1.295789,0.863055
May3h-apical,20.000000,1.000000,2.557167,1.804407
May3h-apical,40.000000,2.000000,23.040076,3.829548
May3h-apical,60.000000,4.000000,2.549660,0.785721
May3h-apical,80.000000,7.000000,3.819301,0.758663
May3h-apical,100.000000,13.000000,3.304193,0.497766
May3h-apical,120.000000,11.000000,2.965737,0.538033
May3h-apical,140.000000,9.000000,7.101625,0.660838
May3h-apical,160.000000,8.000000,2.954219,0.661650
May3h-apical,180.000000,9.000000,2.661532,0.567198
May3h-apical,200.000000,9.000000,2.819404,0.609017
May3h-apical,220.000000,8.000000,1.926523,0.505604
May3h-apical,240.000000,9.000000,3.510568,0.674399
May3h-apical,260.000000,8.000000,1.942084,0.532982
May3h-apical,280.000000,8.000000,2.329232,0.574989
May3h-apical,300.000000,8.000000,2.491243,0.609504
May3h-apical,320.000000,9.000000,2.092819,0.519937
May3h-apical,340.000000,11.000000,3.922211,0.603208
May3h-apical,360.000000,11.000000,2.103286,0.474432
May3h-apical,380.000000,9.000000,2.282533,0.554305
May3h-apical,400.000000,10.000000,1.820505,0.432910
May3h-apical,420.000000,9.000000,2.338042,0.510368
May3h-apical,440.000000,8.000000,1.937607,0.526460
May3h-apical,460.000000,7.000000,1.746935,0.534837
May3h-apical,480.000000,7.000000,2.969030,0.720191
May3h-apical,500.000000,4.000000,2.177599,0.759677
May3h-apical,520.000000,4.000000,1.008339,0.550633
May3h-apical,540.000000,1.000000,0.184656,0.484883
May3h-apical,560.000000,1.000000,0.114899,0.382483
May3t-apical,20.000000,2.000000,8.107163,1.907526
May3t-apical,40.000000,4.000000,5.497510,1.174874
May3t-apical,60.000000,13.000000,10.296037,0.903857
May3t-apical,80.000000,16.000000,10.883490,0.816656
May3t-apical,100.000000,18.000000,11.861311,0.869626
May3t-apical,120.000000,20.000000,10.651989,0.742975
May3t-apical,140.000000,21.000000,13.323000,0.823565
May3t-apical,160.000000,22.000000,13.103079,0.739198
May3t-apical,180.000000,19.000000,9.592433,0.711291
May3t-apical,200.000000,18.000000,9.695868,0.744618
May3t-apical,220.000000,15.000000,8.374900,0.774191
May3t-apical,240.000000,10.000000,6.923590,0.779230
May3t-apical,260.000000,7.000000,4.627759,0.794645
May3t-apical,280.000000,7.000000,3.987941,0.804192
May3t-apical,300.000000,7.000000,3.463403,0.742873
May3t-apical,320.000000,7.000000,3.261278,0.683020
May3t-apical,340.000000,6.000000,2.782351,0.743900
May3t-apical,360.000000,6.000000,1.770682,0.588236
May3t-apical,380.000000,4.000000,1.670216,0.666376
May3t-apical,400.000000,5.000000,2.307750,0.720493
May3t-apical,420.000000,4.000000,1.811980,0.686083
May3t-apical,440.000000,5.000000,2.039126,0.675092
May3t-apical,460.000000,7.000000,3.061373,0.684447
May3t-apical,480.000000,7.000000,3.634634,0.751864
May3t-apical,500.000000,7.000000,2.435801,0.591463
May3t-apical,520.000000,7.000000,4.120358,0.832024
May3t-apical,540.000000,7.000000,3.411142,0.742710
May3t-apical,560.000000,7.000000,2.303735,0.602132
May3t-apical,580.000000,7.000000,1.694027,0.502319
May3t-apical,600.000000,5.000000,1.515402,0.577218
May3t-apical,620.000000,5.000000,2.524462,0.739023
May3t-apical,640.000000,3.000000,1.724501,0.780614
May3t-apical,660.000000,2.000000,0.232081,0.384356
May3t-basal,20.000000,11.000000,10.427723,1.012843
May3t-basal,40.000000,20.000000,10.433220,0.772485
May3t-basal,60.000000,35.000000,18.773522,0.790075
May3t-basal,80.000000,33.000000,19.105800,0.805689
May3t-basal,100.000000,25.000000,10.786915,0.703757
May3t-basal,120.000000,23.000000,8.930472,0.627020
May3t-basal,140.000000,20.000000,5.485621,0.533557
May3t-basal,160.000000,20.000000,8.510383,0.686322
May3t-basal,180.000000,18.000000,5.829629,0.606185
May3t-basal,200.000000,12.000000,4.905950,0.635009
May3t-basal,220.000000,6.000000,1.390456,0.502360
May3t-basal,240.000000,1.000000,0.578913,0.858543
May3t-basal,260.000000,1.000000,0.688437,0.936240
May3j-basal,20.000000,10.000000,7.159804,0.850316
May3j-basal,40.000000,20.000000,13.462447,0.867751
May3j-basal,60.000000,31.000000,29.835161,0.954996
May3j-basal,80.000000,36.000000,40.109661,1.059660
May3j-basal,100.000000,37.000000,54.972088,1.250071
May3j-basal,120.000000,32.000000,35.284780,1.111824
May3j-basal,140.000000,29.000000,26.378671,1.002979
May3j-basal,160.000000,27.000000,20.121744,0.940158
May3j-basal,180.000000,21.000000,13.620284,0.852919
May3j-basal,200.000000,18.000000,11.159754,0.828164
May3j-basal,220.000000,5.000000,2.208517,0.731335
May3j-basal,240.000000,1.000000,0.275924,0.592720
May3x-basal,20.000000,8.000000,7.196678,0.965795
May3x-basal,40.000000,21.000000,5.066577,0.526869
May3x-basal,60.000000,17.000000,6.184478,0.652375
May3x-basal,80.000000,12.000000,3.815787,0.600379
May3x-basal,100.000000,8.000000,3.156443,0.636411
May3x-basal,120.000000,7.000000,2.424145,0.655620
May3x-basal,140.000000,7.000000,2.185578,0.568317
May3x-basal,160.000000,4.000000,1.151330,0.597427
May3x-basal,180.000000,2.000000,0.475383,0.538203
May3i-apical,20.000000,1.000000,4.292685,2.337866
May3i-apical,40.000000,3.000000,2.126594,0.859283
May3i-apical,60.000000,8.000000,3.560859,0.689030
May3i-apical,80.000000,10.000000,4.170325,0.650926
May3i-apical,100.000000,13.000000,6.781466,0.727855
May3i-apical,120.000000,14.000000,6.013825,0.682111
May3i-apical,140.000000,14.000000,5.523062,0.609056
May3i-apical,160.000000,12.000000,3.864776,0.569168
May3i-apical,180.000000,11.000000,5.163594,0.713137
May3i-apical,200.000000,10.000000,4.458788,0.668365
May3i-apical,220.000000,7.000000,2.489464,0.625836
May3i-apical,240.000000,6.000000,1.796588,0.586470
May3i-apical,260.000000,5.000000,1.850917,0.667104
May3i-apical,280.000000,5.000000,2.143771,0.684843
May3i-apical,300.000000,6.000000,1.259418,0.491487
May3i-apical,320.000000,5.000000,2.095962,0.662657
May3i-apical,340.000000,5.000000,1.300533,0.541830
May3i-apical,360.000000,6.000000,2.674661,0.704618
May3i-apical,380.000000,7.000000,2.348736,0.627466
May3i-apical,400.000000,10.000000,3.684760,0.647166
May3i-apical,420.000000,11.000000,3.985898,0.628826
May3i-apical,440.000000,11.000000,2.314583,0.495804
May3i-apical,460.000000,13.000000,4.537615,0.644389
May3i-apical,480.000000,13.000000,4.137779,0.578012
May3i-apical,500.000000,13.000000,3.389473,0.537979
May3i-apical,520.000000,13.000000,4.712333,0.626692
May3i-apical,540.000000,12.000000,2.715858,0.512788
May3i-apical,560.000000,11.000000,3.284261,0.588930
May3i-apical,580.000000,7.000000,2.500117,0.588680
May3i-apical,600.000000,6.000000,1.613829,0.569504
May3i-apical,620.000000,3.000000,1.050638,0.666564
May3x-apical,20.000000,1.000000,5.114295,2.551808
May3x-apical,40.000000,2.000000,4.625473,1.538922
May3x-apical,60.000000,4.000000,4.927582,1.076440
May3x-apical,80.000000,7.000000,5.377837,0.806202
May3x-apical,100.000000,7.000000,7.076507,1.015829
May3x-apical,120.000000,8.000000,7.590753,0.995916
May3x-apical,140.000000,9.000000,5.639876,0.853247
May3x-apical,160.000000,10.000000,4.873430,0.717867
May3x-apical,180.000000,10.000000,5.232385,0.789007
May3x-apical,200.000000,9.000000,3.124678,0.652361
May3x-apical,220.000000,8.000000,2.013950,0.545255
May3x-apical,240.000000,8.000000,1.476231,0.460630
May3x-apical,260.000000,9.000000,2.373214,0.567389
May3x-apical,280.000000,9.000000,2.246388,0.533464
May3x-apical,300.000000,9.000000,3.013333,0.604195
May3x-apical,320.000000,9.000000,3.447663,0.624761
May3x-apical,340.000000,8.000000,1.382666,0.438635
May3x-apical,360.000000,6.000000,1.615151,0.543150
May3x-apical,380.000000,4.000000,1.252575,0.586034
May3x-apical,400.000000,3.000000,0.189487,0.278039
May3x-apical,420.000000,2.000000,0.504921,0.566958
May3j-apical,20.000000,1.000000,14.110188,4.238591
May3j-apical,40.000000,4.000000,6.283971,1.400694
May3j-apical,60.000000,8.000000,5.836595,0.843344
May3j-apical,80.000000,16.000000,9.150903,0.788269
May3j-apical,100.000000,19.000000,18.211321,0.956544
May3j-apical,120.000000,22.000000,19.846198,0.952566
May3j-apical,140.000000,26.000000,22.678813,0.913354
May3j-apical,160.000000,23.000000,16.910723,0.903308
May3j-apical,180.000000,23.000000,16.207936,0.863466
May3j-apical,200.000000,22.000000,11.333133,0.727378
May3j-apical,220.000000,21.000000,10.733221,0.765549
May3j-apical,240.000000,18.000000,9.061767,0.721783
May3j-apical,260.000000,13.000000,7.090856,0.733041
May3j-apical,280.000000,9.000000,3.485215,0.673576
May3j-apical,300.000000,12.000000,4.042119,0.578233
May3j-apical,320.000000,10.000000,3.170683,0.552700
May3j-apical,340.000000,8.000000,2.753552,0.607402
May3j-apical,360.000000,9.000000,4.909911,0.816720
May3j-apical,380.000000,9.000000,5.071116,0.793478
May3j-apical,400.000000,10.000000,4.582314,0.728369
May3j-apical,420.000000,9.000000,4.549617,0.759701
May3j-apical,440.000000,10.000000,4.939631,0.761864
May3j-apical,460.000000,10.000000,5.467709,0.809463
May3j-apical,480.000000,11.000000,5.211133,0.739961
May3j-apical,500.000000,11.000000,6.163389,0.765098
May3j-apical,520.000000,10.000000,5.339831,0.801674
May3j-apical,540.000000,11.000000,5.173652,0.721635
May3j-apical,560.000000,12.000000,4.944929,0.695309
May3j-apical,580.000000,13.000000,4.251970,0.611846
May3j-apical,600.000000,12.000000,6.042092,0.733491
May3j-apical,620.000000,12.000000,4.500422,0.664885
May3j-apical,640.000000,12.000000,6.201283,0.769278
May3j-apical,660.000000,10.000000,5.927580,0.736884
May3j-apical,680.000000,10.000000,9.591492,0.947891
May3j-apical,700.000000,5.000000,2.909980,0.784146
May3j-apical,720.000000,2.000000,1.105731,0.759928
May3j-apical,740.000000,2.000000,0.975387,0.769792
May3j-apical,760.000000,2.000000,0.234516,0.377996
May3j-apical,780.000000,1.000000,0.316826,0.635134
